uf,cod_uf,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total
Rondônia,11,2023,17415,343,1257,4511,394,480.0495,179.7404,59.5028,510.8572,483.308,208.0819,88.9952,510.8572,334.3138,142.0344,49.096,510.8572,6505,77.3936,110.2141,61.6844,23921
Acre,12,2023,10457,26,468,3522,0,0,230.9522,71.7264,945.8746,0,234.3166,60.4966,2897.2904,0,230.9522,71.7264,904.9679,4016,72.9459,82.2347,72.9459,14473
Amazonas,13,2023,65498,693,413,3209,629,322.9488,101.5978,50.4066,205.3184,347.9434,130.5185,80.6207,223.1406,198.4609,101.5978,42.6728,100.1685,4944,80.6207,125.7539,50.4066,70453
Roraima,14,2023,9902,38,565,2600,0,0,138.9928,124.1228,911.3309,0,296.6059,91.3813,2731.6174,0,138.9928,124.1228,887.717,3203,138.9928,864.1031,138.9928,13105
Pará,15,2023,92482,2330,3197,21004,7138,131.1177,161.1494,36.9037,243.5271,138.9615,161.1494,28.414,243.5271,131.1177,157.7694,51.7757,207.6456,33669,69.6531,71.4109,61.4385,126152
Amapá,16,2023,10125,23,1578,1222,0,0,21.3422,115.9282,694.488,0,21.3422,115.9282,2636.3812,0,34.7156,27.0658,264.5521,2823,34.7156,101.9617,27.0658,12948
Tocantins,17,2023,12095,777,3423,6457,393,220.6696,141.4807,72.1414,65.3903,220.6696,141.8099,63.6165,100.2746,220.6696,129.4048,76.4037,56.2643,11050,90.4519,97.3415,84.8225,23145
Maranhão,21,2023,65529,2871,6795,20233,1774,102.7266,117.4942,43.336,72.3221,298.1243,156.9019,51.143,72.3221,84.6173,104.7935,38.9182,72.3221,31673,60.1981,69.9723,51.6366,97205
Piauí,22,2023,22699,358,2552,14259,2275,234.6345,154.2388,63.7764,87.8916,240.9445,163.2604,69.5281,82.8577,216.2819,109.1107,54.273,113.043,19444,84.4697,94.3201,64.1745,42144
Ceará,23,2023,70379,394,13343,23914,3061,169.6864,54.7934,38.2588,89.2446,173.9208,60.4565,41.7616,89.2446,134.4124,39.0228,34.8796,90.8918,40712,45.7043,50.8989,37.0771,111091
Rio Grande do Norte,24,2023,18820,140,7834,12207,439,180.6092,80.7871,36.9739,168.8459,180.6092,84.1609,23.5189,239.4912,337.0334,74.168,42.6315,46.0314,20620,50.2707,60.67,46.0486,39440
Paraíba,25,2023,25590,758,8613,15343,1227,69.6516,68.2646,30.3351,85.8776,69.6916,66.2416,30.6498,88.5392,68.9248,69.9737,30.0945,82.7052,25941,43.7765,44.6279,40.0067,51531
Pernambuco,26,2023,49084,2750,11486,43196,9644,144.359,79.9234,24.3422,65.448,171.6218,84.2023,24.2826,98.2685,86.4668,66.9932,24.8006,45.4326,67076,42.702,51.6546,34.2449,116175
Alagoas,27,2023,24580,422,4698,15830,1013,62.1859,75.6498,28.6983,40.0071,62.1859,75.5273,28.3843,40.0071,153.9519,77.4886,28.6983,38.0953,21963,34.5568,32.8756,37.1441,46543
Sergipe,28,2023,11677,280,8604,8444,0,0,61.322,28.052,47.0894,0,51.5027,20.8793,69.955,0,67.7992,29.4134,30.9014,17328,38.8137,30.5966,42.5299,29005
Bahia,29,2023,111679,4950,9534,36764,7386,136.0217,100.5576,50.3121,84.8575,166.2906,90.4189,50.8456,64.2364,124.3218,100.8179,50.1818,92.6622,58634,63.1897,64.2364,62.1234,170314
Minas Gerais,31,2023,142450,2314,24405,59700,5048,99.1994,41.3045,33.3064,75.2229,97.7834,46.2379,33.748,68.6631,120.1957,35.5481,33.3064,79.1889,91467,36.7053,37.4932,33.752,233918
Espírito Santo,32,2023,29327,673,0,19197,2990,110.5073,0,33.2539,45.4209,125.0036,0,37.5453,57.7161,82.8389,0,25.8502,21.7687,22860,37.5453,45.5148,29.8763,52187
Rio de Janeiro,33,2023,131568,479,3713,37936,2440,81.281,37.6284,20.8512,64.0067,113.4341,30.9243,20.8512,64.0067,56.6065,44.4841,14.7291,165.9226,44568,20.9699,24.4013,17.8948,176145
São Paulo,35,2023,371171,582,10948,86248,34954,28.684,57.1976,21.1853,177.2138,28.684,58.8481,21.4769,160.1439,23.2076,39.8643,18.8056,340.544,132732,23.2076,23.2788,23.2076,503910
Paraná,41,2023,85446,814,3929,48704,940,79.4614,84.5847,34.3758,24.9051,103.546,85.614,42.0673,48.6355,48.837,84.1955,25.4516,13.226,54387,38.8002,44.8361,28.2009,139836
